C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
47.644772,38378823.73,33.17495,LOS
48.298435,38378889.52,33.174252,LOS
47.902607,38378955.11,33.173553,LOS
47.060421,38379020.61,33.172855,LOS
46.164467,38379081.03,33.172165,LOS
45.49416,38379146.49,33.171474,LOS
45.013538,38379212.13,33.170769,LOS
45.421631,38379277.25,33.170071,LOS
45.747669,38379337.25,33.16938,LOS
46.548981,38379402.61,33.168678,LOS
46.690174,38379467.99,33.167988,LOS
45.968494,38379533.31,33.167294,LOS
45.499832,38379593.47,33.166595,LOS
45.154732,38379658.51,33.165901,LOS
46.043095,38379724.34,33.165207,LOS
47.083214,38379789.85,33.164505,LOS
47.830688,38379849.86,33.163807,LOS
48.685848,38379914.56,33.163116,LOS
48.451717,38379980.04,33.162426,LOS
48.260727,38380045.69,33.161732,LOS
47.461052,38380105.82,33.161034,LOS
47.521122,38380171.07,33.160339,LOS
48.126518,38380236.85,33.159645,LOS
48.355324,38380302.18,33.158958,LOS
47.85247,38380362.12,33.158264,LOS
47.580376,38380427.48,33.157574,LOS
46.747894,38380493.11,33.156876,LOS
46.462482,38380553.05,33.156193,LOS
47.256134,38380618.68,33.155495,LOS
47.809578,38380683.85,33.154797,LOS
47.378944,38380749.17,33.15411,LOS
46.64159,38380809.21,33.153412,LOS
45.582348,38380874.9,33.152721,LOS
46.345024,38380939.59,33.152031,LOS
46.50779,38380999.33,33.15134,LOS
47.419575,38381064.89,33.150646,LOS
47.52449,38381130.28,33.149948,LOS
46.574486,38381195.6,33.149265,LOS
45.193081,38381255.81,33.148571,LOS
45.747375,38381320.87,33.147877,LOS
46.210953,38381386.17,33.14719,LOS
46.230213,38381445.99,33.1465,LOS
46.160648,38381511.51,33.145813,LOS
46.319126,38381576.83,33.145119,LOS
46.181499,38381642.12,33.144424,LOS
46.30368,38381701.78,33.143742,LOS
46.414028,38381767.17,33.143047,LOS
46.891705,38381832.14,33.142357,LOS
47.60334,38381891.58,33.141659,LOS
47.835445,38381956.54,33.140972,LOS
47.334225,38382021.67,33.140282,LOS
47.266609,38382086.95,33.139591,LOS
47.286549,38382146.87,33.138901,LOS
47.265186,38382211.23,33.138214,LOS
46.300308,38382276.86,33.137527,LOS
46.915447,38382336.36,33.136833,LOS
47.091789,38382401.26,33.136147,LOS
46.953625,38382466.42,33.135456,LOS
45.918537,38382531.35,33.134766,LOS
46.493416,38382590.87,33.134083,LOS
47.227879,38382655.98,33.133396,LOS
47.446346,38382721.07,33.132702,LOS
46.803268,38382780.71,33.132015,LOS
46.588993,38382845.59,33.131325,LOS
47.509758,38382910.47,33.130646,LOS
47.569893,38382975.49,33.129951,LOS
47.737812,38383035.07,33.129269,LOS
48.054909,38383100.14,33.128582,LOS
48.008026,38383164.94,33.127895,LOS
48.104,38383224.35,33.127205,LOS
47.408611,38383289.4,33.126518,LOS
47.677254,38383354.1,33.125835,LOS
47.745129,38383419.09,33.125149,LOS
47.809689,38383478.32,33.124466,LOS
47.469669,38383542.99,33.123779,LOS
47.120903,38383607.63,33.123096,LOS
46.316292,38383672.55,33.12241,LOS
