C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
49.793308,36334603.71,59.110126,LOS
49.482765,36334590.5,59.110195,MP
49.251945,36334582.67,59.110252,MP
49.23312,36334574.75,59.110313,MP
49.204327,36334561.76,59.110382,MP
49.088268,36334553.87,59.110447,MP
49.184261,36334545.82,59.110504,MP
48.643623,36334538.2,59.11058,MP
48.495167,36334524.98,59.110645,MP
48.779514,36334517.22,59.110703,MP
48.665543,36334509.08,59.110771,MP
48.371487,36334500.95,59.11084,MP
48.102345,36334493.06,59.110897,MP
48.551773,36334479.82,59.110966,MP
48.321281,36334472.08,59.111034,MP
48.841171,36334464.22,59.111092,MP
48.248344,36334456.42,59.11116,MP
48.161163,36334443.14,59.111221,MP
48.135899,36334435.26,59.11129,MP
48.418617,36334427.34,59.111355,MP
48.435791,36334419.52,59.111412,MP
48.806293,36334406.53,59.111481,MP
48.354248,36334398.7,59.111553,MP
48.113453,36334390.78,59.11161,MP
48.022495,36334382.97,59.111691,MP
48.213764,36334369.59,59.111748,MP
48.004532,36334361.76,59.111813,MP
48.74823,36334353.94,59.111874,MP
49.183445,36334346.06,59.111942,MP
49.2644,36334332.63,59.112015,MP
49.355,36334324.67,59.11208,MP
50.049393,36334316.76,59.112137,LOS
50.098278,36334309.01,59.112209,LOS
49.765804,36334295.66,59.112278,LOS
50.060471,36334287.66,59.112335,LOS
50.063808,36334279.67,59.112404,LOS
50.139114,36334271.8,59.112473,LOS
50.008434,36334258.27,59.112541,LOS
49.781776,36334250.52,59.112606,LOS
49.646149,36334242.5,59.112686,LOS
48.946468,36334234.59,59.112747,MP
49.058449,36334221.11,59.112808,MP
48.850021,36334212.88,59.112873,MP
48.914692,36334204.87,59.112942,MP
49.087975,36334196.85,59.11301,MP
49.319035,36334183.47,59.113083,MP
48.95697,36334175.42,59.11314,MP
48.996391,36334167.61,59.113209,MP
48.962532,36334159.64,59.113289,MP
48.78577,36334146.28,59.113354,MP
48.759048,36334138.4,59.113422,MP
48.896858,36334130.19,59.113491,MP
49.069653,36334121.96,59.113556,MP
49.353806,36334108.53,59.113628,MP
49.402634,36334100.46,59.113689,MP
49.514702,36334092.18,59.113758,LOS
49.410919,36334084.11,59.113827,MP
49.481419,36334076.19,59.113895,MP
49.5802,36334062.79,59.113964,LOS
50.264748,36334054.72,59.114029,LOS
50.060875,36334046.57,59.114098,LOS
50.811443,36334038.31,59.114166,LOS
50.970943,36334025.04,59.114235,LOS
51.059292,36334017.07,59.114304,LOS
51.23489,36334008.94,59.114372,LOS
51.157932,36334000.78,59.114437,LOS
51.082867,36333987.41,59.114506,LOS
51.337826,36333979.05,59.114578,LOS
51.641602,36333970.81,59.114647,LOS
51.750786,36333962.71,59.114719,LOS
51.752571,36333949.09,59.114788,LOS
51.983345,36333941.15,59.114853,LOS
52.100468,36333932.89,59.114918,LOS
51.909454,36333924.65,59.114994,LOS
51.907261,36333911.16,59.11507,LOS
51.971859,36333903.14,59.115128,LOS
51.824192,36333894.93,59.115208,LOS
51.569248,36333886.64,59.11528,LOS
52.110931,36333878.24,59.115345,LOS
51.918785,36333864.47,59.115414,LOS
51.435276,36333856.28,59.115486,LOS
51.406994,36333848.05,59.115555,LOS
51.280289,36333839.71,59.115623,LOS
51.490772,36333826.13,59.115692,LOS
51.299763,36333818.04,59.115765,LOS
51.164295,36333809.84,59.115829,LOS
51.229774,36333801.57,59.115902,LOS
51.212364,36333787.84,59.115967,LOS
51.089462,36333779.44,59.116035,LOS
50.888622,36333770.91,59.116104,LOS
51.081104,36333762.87,59.11618,LOS
51.131256,36333754.61,59.116257,LOS
50.988373,36333740.81,59.116329,LOS
51.169567,36333732.42,59.116394,LOS
51.173565,36333723.95,59.11647,LOS
51.56982,36333715.59,59.116543,LOS
51.68692,36333707.46,59.116615,LOS
51.434662,36333693.77,59.116684,LOS
52.005642,36333685.37,59.116749,LOS
51.999477,36333676.82,59.116817,LOS
52.012302,36333668.4,59.11689,LOS
52.097462,36333660.06,59.11697,LOS
51.984741,36333646.43,59.117043,LOS
52.274017,36333638.36,59.117111,LOS
52.200974,36333629.86,59.117176,LOS
52.100327,36333621.49,59.117256,LOS
51.990673,36333608.02,59.117325,LOS
51.968731,36333599.42,59.117397,LOS
51.785301,36333590.88,59.117466,LOS
51.498882,36333582.37,59.117542,LOS
51.568615,36333574.15,59.117626,LOS
51.471306,36333560.58,59.117691,LOS
51.477268,36333552.39,59.117752,LOS
51.475216,36333543.95,59.117828,LOS
51.565571,36333535.35,59.117897,LOS
51.051498,36333521.57,59.11797,LOS
51.105881,36333513.15,59.118046,LOS
50.803062,36333505.02,59.118114,LOS
51.131599,36333496.51,59.118187,LOS
51.169216,36333488.13,59.118267,LOS
50.788528,36333474.49,59.118336,LOS
51.07872,36333466.11,59.118408,LOS
51.777046,36333457.7,59.118484,LOS
51.667152,36333449.09,59.118553,LOS
51.954582,36333435.17,59.118626,LOS
51.819084,36333426.6,59.118702,LOS
51.998501,36333418.23,59.118774,LOS
52.080112,36333409.73,59.118843,LOS
52.037987,36333401.56,59.118923,LOS
52.012791,36333387.88,59.118996,LOS
51.671761,36333379.6,59.119061,LOS
51.50238,36333371.13,59.119141,LOS
51.283916,36333362.92,59.119213,LOS
51.342102,36333349.24,59.119289,LOS
50.698193,36333340.83,59.119362,LOS
50.765308,36333332.23,59.119442,LOS
50.923012,36333323.75,59.119514,LOS
50.553524,36333309.57,59.119591,LOS
50.411388,36333300.79,59.119663,LOS
49.925968,36333292.4,59.119743,LOS
49.500534,36333284.16,59.119812,LOS
49.346775,36333275.66,59.119884,MP
49.077885,36333261.87,59.119961,MP
48.835114,36333253.52,59.120033,MP
48.375374,36333245.09,59.120113,MP
48.280266,36333236.58,59.120186,MP
48.234238,36333222.76,59.120262,MP
48.585781,36333214.18,59.120335,MP
48.660339,36333205.98,59.120407,MP
48.325306,36333197.65,59.120487,MP
48.785332,36333188.95,59.120552,MP
49.178085,36333174.98,59.120636,MP
49.557079,36333166.44,59.120708,LOS
49.330338,36333158.02,59.120785,MP
49.67255,36333149.78,59.120861,LOS
49.795685,36333136.01,59.120926,LOS
49.713673,36333127.71,59.12101,LOS
49.653133,36333119.42,59.121086,LOS
49.759312,36333105.6,59.121162,LOS
49.54137,36333097.54,59.121239,LOS
49.588341,36333089.18,59.121311,LOS
49.571712,36333080.62,59.121387,LOS
49.543617,36333067.07,59.121468,LOS
49.625786,36333058.48,59.121536,LOS
49.543015,36333050.02,59.121616,LOS
49.705093,36333041.61,59.121696,LOS
49.071205,36333027.63,59.121769,MP
49.19846,36333019.4,59.121845,MP
49.160381,36333011.26,59.121929,MP
49.33807,36333002.82,59.122002,MP
49.142235,36332989.17,59.122078,MP
48.814392,36332980.88,59.12215,MP
48.744305,36332972.67,59.122234,MP
48.172596,36332964.12,59.122307,MP
48.203503,36332950.45,59.122375,MP
48.203415,36332942.22,59.122456,MP
48.482376,36332933.69,59.122536,MP
48.798885,36332919.85,59.122608,MP
49.080452,36332911.51,59.122692,MP
49.485733,36332903.03,59.122768,MP
50.257763,36332894.81,59.122841,LOS
50.261822,36332880.96,59.122917,LOS
50.36652,36332872.48,59.122997,LOS
50.082527,36332863.92,59.123074,LOS
50.635216,36332855.32,59.123146,LOS
51.289391,36332841.37,59.12323,LOS
51.115429,36332832.99,59.123306,LOS
50.690701,36332824.52,59.123379,LOS
51.137981,36332816.1,59.123463,LOS
50.909824,36332802.23,59.123535,LOS
51.145065,36332793.49,59.123619,LOS
51.524368,36332784.98,59.123695,LOS
51.738438,36332776.41,59.123779,LOS
51.880894,36332762.41,59.123852,LOS
51.8036,36332754.0,59.123936,LOS
51.562721,36332745.53,59.124012,LOS
51.586796,36332736.86,59.124088,LOS
52.052765,36332723.13,59.124168,LOS
51.953819,36332714.68,59.124249,LOS
52.03474,36332706.22,59.124321,LOS
51.930271,36332697.71,59.124409,LOS
51.308186,36332683.44,59.124481,LOS
51.417282,36332674.87,59.124561,LOS
